lncrna_id,partner_id,partner_name,pearson_r,pvalue
Cp_V2_contig_12238,Cp_V2_contig_16530,.,0.9044,0.000326
Cp_V2_contig_12238,Cp_V2_contig_10620,.,0.9042,0.000328
Cp_V2_contig_12238,Cp_V2_contig_14010,.,0.9036,0.000336
Cp_V2_contig_12238,Cp_V2_contig_5212,.,0.9032,0.000341
Cp_V2_contig_12238,Cp_V2_contig_23281,.,0.9031,0.000342
Cp_V2_contig_12238,Cp_V2_contig_12781,.,0.903,0.000344
Cp_V2_contig_12238,Cp_V2_contig_9388,.,0.9027,0.000348
Cp_V2_contig_12238,Cp_V2_contig_6840,.,0.9025,0.000351
Cp_V2_contig_12238,Cp_V2_contig_10805,.,0.9022,0.000356
Cp_V2_contig_12238,Cp_V2_contig_26298,.,0.9022,0.000355
Cp_V2_contig_12238,Cp_V2_contig_11008,.,0.9014,0.000366
Cp_V2_contig_12238,Cp_V2_contig_7760,.,0.9012,0.000369
Cp_V2_contig_12238,Cp_V2_contig_32515,.,0.9011,0.00037
Cp_V2_contig_12238,Cp_V2_contig_4940,.,0.9008,0.000376
Cp_V2_contig_12238,Cp_V2_contig_15653,.,0.9005,0.00038
Cp_V2_contig_12238,Cp_V2_contig_1900,.,0.9004,0.000382
Cp_V2_contig_15059,Cp_V2_contig_332,.,0.9815,1e-06
Cp_V2_contig_15059,Cp_V2_contig_22985,.,0.9623,8e-06
Cp_V2_contig_15059,Cp_V2_contig_12891,.,0.9465,3.3e-05
Cp_V2_contig_15059,Cp_V2_contig_5216,.,0.9344,7.5e-05
Cp_V2_contig_15059,Cp_V2_contig_15027,.,0.9011,0.00037
Cp_V2_contig_24180,Cp_V2_contig_45899,.,0.9836,0.0
Cp_V2_contig_24180,Cp_V2_contig_6376,.,0.9816,0.0
Cp_V2_contig_24180,Cp_V2_contig_5597,.,0.9802,1e-06
Cp_V2_contig_24180,Cp_V2_contig_3837,.,0.9787,1e-06
Cp_V2_contig_24180,Cp_V2_contig_38011,.,0.9776,1e-06
Cp_V2_contig_24180,Cp_V2_contig_32418,.,0.9771,1e-06
Cp_V2_contig_24180,Cp_V2_contig_25283,.,0.9762,1e-06
Cp_V2_contig_24180,Cp_V2_contig_32420,.,0.9761,1e-06
Cp_V2_contig_24180,Cp_V2_contig_46902,.,0.9756,1e-06
Cp_V2_contig_24180,Cp_V2_contig_9538,.,0.9737,2e-06
Cp_V2_contig_24180,Cp_V2_contig_23992,.,0.9715,3e-06
Cp_V2_contig_24180,Cp_V2_contig_10726,.,0.9707,3e-06
Cp_V2_contig_24180,Cp_V2_contig_25880,.,0.9697,4e-06
Cp_V2_contig_24180,Cp_V2_contig_12179,.,0.9688,4e-06
Cp_V2_contig_24180,Cp_V2_contig_10048,.,0.9684,4e-06
Cp_V2_contig_24180,Cp_V2_contig_10120,.,0.9681,4e-06
Cp_V2_contig_24180,Cp_V2_contig_26647,.,0.9681,4e-06
Cp_V2_contig_24180,Cp_V2_contig_21685,.,0.968,4e-06
Cp_V2_contig_24180,Cp_V2_contig_3083,.,0.9651,6e-06
Cp_V2_contig_24180,Cp_V2_contig_11007,.,0.9645,7e-06
Cp_V2_contig_24180,Cp_V2_contig_33310,.,0.9644,7e-06
Cp_V2_contig_24180,Cp_V2_contig_19606,.,0.9632,8e-06
Cp_V2_contig_24180,Cp_V2_contig_3733,.,0.9617,9e-06
Cp_V2_contig_24180,Cp_V2_contig_38417,.,0.9615,9e-06
Cp_V2_contig_24180,Cp_V2_contig_37850,.,0.9606,1e-05
Cp_V2_contig_24180,Cp_V2_contig_38638,.,0.9595,1.1e-05
Cp_V2_contig_24180,Cp_V2_contig_37548,.,0.9589,1.2e-05
Cp_V2_contig_24180,Cp_V2_contig_1533,.,0.9571,1.4e-05
Cp_V2_contig_24180,Cp_V2_contig_12810,.,0.9555,1.6e-05
Cp_V2_contig_24180,Cp_V2_contig_2128,.,0.9547,1.8e-05
Cp_V2_contig_24180,Cp_V2_contig_29767,.,0.9525,2.1e-05
Cp_V2_contig_24180,Cp_V2_contig_14207,.,0.9524,2.1e-05
Cp_V2_contig_24180,Cp_V2_contig_13584,.,0.9475,3.1e-05
Cp_V2_contig_24180,Cp_V2_contig_58,.,0.9467,3.3e-05
Cp_V2_contig_24180,Cp_V2_contig_11082,.,0.9461,3.5e-05
Cp_V2_contig_24180,Cp_V2_contig_18155,.,0.946,3.5e-05
Cp_V2_contig_24180,Cp_V2_contig_8331,.,0.9445,3.9e-05
Cp_V2_contig_24180,Cp_V2_contig_45465,.,0.9435,4.2e-05
Cp_V2_contig_24180,Cp_V2_contig_13780,.,0.9425,4.5e-05
Cp_V2_contig_24180,Cp_V2_contig_19357,.,0.9416,4.7e-05
Cp_V2_contig_24180,Cp_V2_contig_18083,.,0.9403,5.2e-05
Cp_V2_contig_24180,Cp_V2_contig_18571,.,0.9395,5.4e-05
