lncrna_id,partner_id,partner_name,pearson_r,pvalue
Cp_V2_contig_24180,Cp_V2_contig_24960,.,0.9394,5.5e-05
Cp_V2_contig_24180,Cp_V2_contig_24081,.,0.936,6.8e-05
Cp_V2_contig_24180,Cp_V2_contig_23383,.,0.935,7.2e-05
Cp_V2_contig_24180,Cp_V2_contig_14662,.,0.9327,8.3e-05
Cp_V2_contig_24180,Cp_V2_contig_6504,.,0.9312,9e-05
Cp_V2_contig_24180,Cp_V2_contig_8544,.,0.9307,9.3e-05
Cp_V2_contig_24180,Cp_V2_contig_11871,.,0.9304,9.5e-05
Cp_V2_contig_24180,Cp_V2_contig_43647,.,0.9304,9.4e-05
Cp_V2_contig_24180,Cp_V2_contig_17170,.,0.9297,9.8e-05
Cp_V2_contig_24180,Cp_V2_contig_31461,.,0.9292,0.000101
Cp_V2_contig_24180,Cp_V2_contig_1299,.,0.9291,0.000101
Cp_V2_contig_24180,Cp_V2_contig_21708,.,0.9289,0.000102
Cp_V2_contig_24180,Cp_V2_contig_5104,.,0.9284,0.000106
Cp_V2_contig_24180,Cp_V2_contig_856,.,0.9257,0.000122
Cp_V2_contig_24180,Cp_V2_contig_24162,.,0.9256,0.000123
Cp_V2_contig_24180,Cp_V2_contig_37809,.,0.9252,0.000125
Cp_V2_contig_24180,Cp_V2_contig_1991,.,0.9242,0.000131
Cp_V2_contig_24180,Cp_V2_contig_39651,.,0.9235,0.000137
Cp_V2_contig_24180,Cp_V2_contig_11798,.,0.9215,0.000151
Cp_V2_contig_24180,Cp_V2_contig_17052,.,0.9213,0.000152
Cp_V2_contig_24180,Cp_V2_contig_14382,.,0.9204,0.000159
Cp_V2_contig_24180,Cp_V2_contig_30886,.,0.9196,0.000166
Cp_V2_contig_24180,Cp_V2_contig_4245,.,0.9195,0.000167
Cp_V2_contig_24180,Cp_V2_contig_26525,.,0.9182,0.000177
Cp_V2_contig_24180,Cp_V2_contig_11289,.,0.917,0.000188
Cp_V2_contig_24180,Cp_V2_contig_35060,.,0.9144,0.000211
Cp_V2_contig_24180,Cp_V2_contig_45503,.,0.9144,0.000211
Cp_V2_contig_24180,Cp_V2_contig_1005,.,0.912,0.000236
Cp_V2_contig_24180,Cp_V2_contig_9280,.,0.9115,0.000241
Cp_V2_contig_24180,Cp_V2_contig_15088,.,0.9096,0.000261
Cp_V2_contig_24180,Cp_V2_contig_3434,.,0.9095,0.000263
Cp_V2_contig_24180,Cp_V2_contig_43112,.,0.9091,0.000267
Cp_V2_contig_24180,Cp_V2_contig_24646,.,0.9083,0.000276
