Gene_ID,Sl_hyd_r1,Sl_hyd_r2,Sl_hyd_r3,Sl_des_r1,Sl_des_r2,Sl_des_r3,Sl_rehyd_r1,Sl_rehyd_r2,Sl_rehyd_r3
MSTRG.12297,1731.629272,1333.241577,1170.682129,1127.187134,812.217773,914.50177,688.107788,991.644775,616.733826
MSTRG.12299,25.798319,27.067593,20.751001,31.171181,24.120996,30.26519,18.556131,28.064781,28.942755
MSTRG.12300,4.138157,2.175477,2.38244,3.104373,3.966011,3.663021,4.851481,3.96462,4.352957
MSTRG.12301,4.995241,3.406613,2.881178,3.405287,4.309008,4.04386,1.949915,5.562187,4.868197
MSTRG.12302,2.858389,2.035678,2.581423,4.037023,3.446134,4.592032,3.294781,4.126925,3.950664
MSTRG.12298,1681.410889,1273.28125,1175.403198,1032.07959,808.317566,910.443115,626.791992,961.616943,527.685974
MSTRG.12303,9.855985,7.360278,6.44141,7.816177,8.065163,7.104351,0.0,7.968865,7.676978
MSTRG.12304,3.77405,2.664903,1.513929,3.953845,4.217165,5.071964,2.709953,4.632392,3.614989
MSTRG.12305,3.762623,2.344412,3.622226,3.97798,6.275103,4.918708,2.004924,8.738231,4.2781
MSTRG.12306,4.36325,3.0182,3.422132,5.972997,4.774179,5.107421,4.017704,4.859535,4.844905
MSTRG.12308,6.504877,4.553475,2.090731,3.887802,4.969555,3.846908,8.813023,3.465444,4.569455
MSTRG.12310,2.472255,3.684966,7.406228,7.169178,8.333224,1.837112,9.504315,2.356727,2.489635
MSTRG.12309,3.043105,2.078458,1.403123,1.694508,4.011615,2.504386,0.0,1.429574,1.568756
MSTRG.12311,9.02155,10.927847,9.939241,10.308556,7.831282,16.204821,16.950085,6.456122,11.043332
MSTRG.12312,169.155151,259.664795,197.022247,126.744804,81.780655,129.883087,158.133072,157.268585,160.544342
MSTRG.12313,41.286121,48.047668,45.331028,43.530624,87.969978,33.791607,40.109467,39.801975,44.896477
MSTRG.12315,25.092382,25.585794,20.446526,20.625483,27.69739,21.757271,35.134331,22.892014,25.42831
MSTRG.12314,42.058353,40.209732,42.474186,56.120335,62.343407,49.409595,38.678326,50.514904,46.784142
MSTRG.12316,242.9534,205.14769,269.91922,392.415253,477.907104,445.712646,107.0839,272.079712,260.396667
MSTRG.12317,102.918892,87.239357,72.835411,54.031147,38.6633,52.393147,33.375309,130.765594,117.029549
MSTRG.12318,21.933065,9.412485,16.328115,19.441244,15.05277,16.702728,10.028719,16.508942,13.963089
MSTRG.12319,68.177841,96.029144,62.917294,54.903828,46.225044,50.371361,48.005352,94.193787,81.932312
MSTRG.12320,136.569916,113.739548,100.808182,74.087708,61.745205,98.372673,34.917839,145.128616,144.965973
MSTRG.12321,29.042707,39.931484,27.668798,20.348976,17.661705,23.706841,33.928886,44.267433,38.331944
MSTRG.12322,21.472149,10.194802,15.737782,18.764881,14.528305,16.599771,10.449531,16.134771,13.644061
