gene_id,mean_hydrated,mean_dehydrated,mean_rehydrated,log2FC,pvalue,cp_hyd_r1,cp_hyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,padj
Cp_V2_contig_18404,30352.883,0.0,0.0,-18.2115,0.5000000000000001,60705.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8811143061996468
Cp_V2_contig_18405,0.0,1.011,0.0,3.4733,0.37390096630005887,0.0,0.0,0.0,0.0,0.0,5.053,0.0,0.0,0.0,0.0,0.7818663273930058
Cp_V2_contig_18407,0.0,2.734,22.164,4.825,0.19474183117479074,0.0,0.0,5.147,0.0,0.0,8.525,0.0,22.968,29.068,14.454,0.7818663273930058
Cp_V2_contig_18418,0.0,17.72,21.866,7.4773,0.08075590969603981,0.0,0.0,32.116,35.514,0.0,20.969,0.0,0.0,28.868,36.73,0.7818663273930058
Cp_V2_contig_18424,0.0,10.128,12.086,6.6763,0.06373513390691828,0.0,0.0,0.0,9.516,12.877,4.778,23.467,36.257,0.0,0.0,0.7818663273930058
Cp_V2_contig_18426,8.258,0.0,4.961,-6.3851,0.5000000000000001,0.0,16.516,0.0,0.0,0.0,0.0,0.0,0.0,14.884,0.0,0.8811143061996468
Cp_V2_contig_18427,6.695,0.522,4.828,-3.4483,0.5253099529670421,0.0,13.39,0.0,0.0,0.0,2.612,0.0,0.0,14.484,0.0,0.9003853308095706
Cp_V2_contig_18428,0.0,2.41,0.0,4.6497,0.37390096630005887,0.0,0.0,0.0,0.0,0.0,0.0,12.051,0.0,0.0,0.0,0.7818663273930058
Cp_V2_contig_18438,20.405,21.037,16.678,0.0438,0.9807320745621239,0.0,40.81,15.587,14.52,47.611,27.466,0.0,24.28,18.23,7.524,1.0
Cp_V2_contig_18441,0.0,2.44,0.0,4.6667,0.37390096630005887,0.0,0.0,0.0,0.0,12.199,0.0,0.0,0.0,0.0,0.0,0.7818663273930058
Cp_V2_contig_18445,21.808,20.618,22.043,-0.0806,0.9658938311723356,0.0,43.616,23.199,41.875,31.006,7.012,0.0,0.0,21.776,44.353,1.0
Cp_V2_contig_1845,49.269,207.015,129.905,2.0688,0.12269619217772254,0.0,98.538,199.51,211.352,309.047,117.596,197.568,17.062,234.643,138.009,0.7818663273930058
Cp_V2_contig_18454,20.966,25.381,26.093,0.2745,0.8741464209329232,0.0,41.933,16.094,26.619,0.0,14.266,69.926,11.976,30.267,36.037,1.0
Cp_V2_contig_18459,0.0,3.709,4.828,5.2515,0.18396849797491244,0.0,0.0,0.0,3.499,12.538,2.509,0.0,0.0,14.484,0.0,0.7818663273930058
Cp_V2_contig_1846,456.448,1121.386,1432.492,1.2966,0.35269547949382973,0.0,912.896,888.877,791.023,586.494,1889.141,1451.397,2973.538,765.962,557.975,0.7818663273930058
Cp_V2_contig_18461,5.893,37.23,44.638,2.639,0.03385772759112186,0.0,11.786,55.097,36.07,36.428,35.406,23.15,60.537,46.249,27.127,0.7818663273930058
Cp_V2_contig_18463,2.967,0.975,0.0,-1.5129,0.6219050095703614,0.0,5.933,0.0,4.873,0.0,0.0,0.0,0.0,0.0,0.0,0.9327402672475437
Cp_V2_contig_18466,2.886,0.522,5.5,-2.2623,0.5612688791663507,0.0,5.773,0.0,0.0,0.0,2.612,0.0,0.0,7.392,9.108,0.9081726496116773
Cp_V2_contig_18469,4.73,8.275,33.564,0.794,0.6202170123874341,0.0,9.461,5.292,8.012,24.737,3.334,0.0,36.585,28.169,35.938,0.9320936783047401
Cp_V2_contig_18472,0.0,7.787,2.673,6.3014,0.18544747820890853,0.0,0.0,0.0,0.0,0.0,16.259,22.674,0.0,0.0,8.019,0.7818663273930058
Cp_V2_contig_18473,11.826,10.633,25.428,-0.152,0.9365684207823646,0.0,23.652,10.512,11.969,0.0,19.903,10.782,53.975,14.784,7.524,1.0
Cp_V2_contig_18476,0.0,10.078,4.807,6.6693,0.07018757087192651,0.0,0.0,1.74,21.779,0.0,15.297,11.575,0.0,7.292,7.128,0.7818663273930058
Cp_V2_contig_18478,0.0,6.958,7.82,6.1411,0.07372484887251898,0.0,0.0,0.0,12.59,12.538,9.659,0.0,23.46,0.0,0.0,0.7818663273930058
Cp_V2_contig_18479,17.879,9.263,11.548,-0.9413,0.7144249988619062,0.0,35.759,0.0,8.797,25.246,12.272,0.0,0.0,21.477,13.167,0.959152401069453
Cp_V2_contig_1848,6.534,2.839,0.776,-1.1744,0.6723084356895942,0.0,13.069,3.335,0.0,0.0,10.862,0.0,0.0,0.0,2.327,0.9461523752914535
