Gene ID,Gene Name,cp_hyd_r1,cp_hyd_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3
Cp_V2_contig_17070,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17071,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17072,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.186005
Cp_V2_contig_17073,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17074,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17075,.,0.0,0.0,0.0,0.0,0.0,0.0,4.218528,0.0,0.0,0.0
Cp_V2_contig_17076,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17077,.,0.0,308.200714,47.740669,146.140091,203.449173,157.751984,175.412277,122.330956,121.996468,122.409882
Cp_V2_contig_17078,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17079,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1708,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17080,.,0.0,0.0,24.444536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17081,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17082,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17083,.,0.0,0.0,13.616755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17084,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17085,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17086,.,0.0,36.881458,23.788307,17.680655,0.0,0.0,0.0,0.0,30.456148,38.689137
Cp_V2_contig_17087,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17088,.,0.0,5.852927,155.526306,22.575298,27.621565,28.70854,0.0,0.0,29.149904,44.238804
Cp_V2_contig_17089,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1709,.,0.0,107.036407,409.815094,92.898346,47.223965,113.674217,36.62598,12.876943,141.108902,39.164822
Cp_V2_contig_17090,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17091,.,0.0,46.422531,0.0,49.346004,40.689831,26.896133,16.514393,12.368643,30.731148,44.397369
Cp_V2_contig_17092,.,0.0,0.0,0.0,3.795846,0.0,0.0,4.872563,0.0,2.921865,11.575028
Cp_V2_contig_17093,.,0.0,0.0,0.0,14.484151,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17094,.,0.0,35.277916,0.0,31.965023,7.128146,14.064285,27.665695,24.567852,12.03121,22.515808
Cp_V2_contig_17095,.,0.0,0.0,0.0,0.0,0.0,0.0,4.774458,0.0,0.0,22.040121
Cp_V2_contig_17096,.,0.0,23.411709,94.332939,34.262508,28.512583,31.173414,16.645199,0.0,18.01244,55.021023
Cp_V2_contig_17097,.,0.0,46.903595,103.356087,139.946869,234.832809,184.14064,103.337585,88.105392,84.630966,0.0
Cp_V2_contig_17098,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17099,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_171,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1710,.,0.0,136.060516,87.278473,202.278671,197.608047,108.59948,188.460281,246.864548,181.32753,156.500717
Cp_V2_contig_17100,.,0.0,53.237583,90.887733,36.559998,14.355293,15.7317,4.741756,12.368643,54.209194,22.357246
Cp_V2_contig_17101,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
